op_nr,time
532,86.70
533,60.57
534,84.05
535,88.40
536,75.85
537,84.18
538,116.95
539,83.98
540,69.38
541,58.29
542,105.67
543,105.88
544,71.52
545,84.56
546,73.18
547,93.42
548,88.08
549,77.82
550,87.10
551,70.05
552,94.88
553,84.86
554,84.88
555,71.08
556,65.41
557,85.97
558,92.78
559,85.26
560,61.59
561,57.35
562,87.13
563,69.49
564,57.17
565,84.35
566,85.53
567,86.32
568,94.86
569,86.08
570,108.65
571,66.05
572,60.20
573,92.46
574,63.24
575,86.44
576,87.94
577,76.61
578,88.53
579,108.65
580,87.37
581,73.25
582,61.61
583,71.80
584,97.61
585,90.47
586,88.33
587,63.49
588,87.97
589,94.78
590,88.48
591,68.38
592,73.44
593,109.29
594,101.88
595,88.58
596,93.87
597,74.07
598,88.34
599,64.37
600,95.06
601,75.82
602,74.40
603,64.25
604,60.49
605,97.82
606,89.99
607,93.75
608,90.91
609,89.83
610,91.74
611,90.72
612,86.86
613,91.52
614,76.85
615,76.27
616,91.11
617,77.09
618,101.62
619,95.73
620,90.92
621,90.96
622,67.42
623,90.85
624,99.35
625,96.03
626,81.33
627,69.71
628,92.19
629,91.30
630,77.09
631,66.64
632,102.48
633,91.74
634,91.23
635,92.74
636,94.46
637,92.80
638,68.20
639,79.60
640,93.51
641,92.60
642,109.73
643,71.73
644,92.14
645,92.64
646,100.51
647,96.92
648,70.10
649,93.99
650,93.39
651,93.09
652,80.44
653,97.22
654,89.47
655,93.89
656,109.19
657,94.72
658,101.49
659,92.64
660,73.67
661,93.93
662,95.57
663,95.78
664,87.20
665,68.94
666,77.08
667,72.91
668,70.12
669,95.36
670,96.22
671,116.40
672,85.47
673,85.98
674,86.19
675,98.44
676,72.38
677,98.08
678,81.61
679,98.33
680,73.93
681,71.85
682,91.01
683,83.18
684,97.78
685,73.71
686,82.22
687,102.06
688,88.23
689,130.46
690,86.95
691,84.20
692,72.92
693,99.66
694,100.60
695,90.40
696,79.80
697,103.67
698,100.98
699,84.87
700,85.46
701,99.97
702,105.28
703,75.71
704,104.97
705,77.46
706,114.46
707,121.24
708,125.57
709,127.46
710,122.65
711,110.17
712,104.97
713,105.19
714,103.36
715,106.39
716,110.89
717,105.80
718,106.12
719,105.67
720,87.52
721,104.46
722,106.64
723,86.16
724,104.95
725,106.43
726,106.97
727,100.13
728,111.01
729,106.40
730,96.66
731,111.91
732,104.69
733,110.39
734,126.43
735,206.82
736,145.11
737,152.88
738,133.29
739,154.32
740,131.74
741,96.57
