op_nr,time
532,112.02
533,113.51
534,116.91
535,120.62
536,102.69
537,129.73
538,132.63
539,113.42
540,140.70
541,117.01
542,115.02
543,123.53
544,108.12
545,120.44
546,121.93
547,115.42
548,119.77
549,146.54
550,116.57
551,130.45
552,122.89
553,114.91
554,124.74
555,141.53
556,115.99
557,112.61
558,142.96
559,123.40
560,135.65
561,127.95
562,147.81
563,143.44
564,119.03
565,119.05
566,141.37
567,135.26
568,133.36
569,124.30
570,112.58
571,119.00
572,119.55
573,117.74
574,122.65
575,118.64
576,134.41
577,123.30
578,139.98
579,128.60
580,127.56
581,133.22
582,135.39
583,123.46
584,104.10
585,121.11
586,151.89
587,132.00
588,140.42
589,136.99
590,125.48
591,142.68
592,125.74
593,135.09
594,144.90
595,188.10
596,146.40
597,143.34
598,164.84
599,140.58
600,143.49
601,134.37
602,164.88
603,148.87
604,159.80
605,176.81
606,143.67
607,159.64
608,189.82
609,156.39
610,216.54
611,174.49
612,157.51
613,175.64
614,174.12
615,150.82
616,148.22
617,135.73
618,143.86
619,145.63
620,164.79
621,126.46
622,112.94
623,107.22
624,145.64
625,112.69
626,112.89
627,152.83
628,144.28
629,150.13
630,148.45
631,142.28
632,136.67
633,150.49
634,156.25
635,170.12
636,160.09
637,175.06
638,222.50
639,158.39
640,160.72
641,188.69
642,139.90
643,153.06
644,181.41
645,140.95
646,155.86
647,142.45
648,187.03
649,181.01
650,136.32
651,142.07
652,159.37
653,141.81
654,147.49
655,149.71
656,186.52
657,175.39
658,177.85
659,141.08
660,161.08
661,128.38
662,192.98
663,162.05
664,161.52
665,157.47
666,164.09
667,157.15
668,173.62
669,127.81
670,157.93
671,162.78
672,150.37
673,205.41
674,220.45
675,214.47
676,149.38
677,141.46
678,136.13
679,155.77
680,137.36
681,149.58
682,156.48
683,178.02
684,170.10
685,141.29
686,153.00
687,171.99
688,151.42
689,167.32
690,146.60
691,175.03
692,179.69
693,158.57
694,153.32
695,160.50
696,189.09
697,172.66
698,178.09
699,210.48
700,148.47
701,171.95
702,145.48
703,142.52
704,155.25
705,184.78
706,147.31
707,178.92
708,157.04
709,163.28
710,185.24
711,169.51
712,171.47
713,179.18
714,177.48
715,180.94
716,183.23
717,201.42
718,186.54
719,184.07
720,201.72
721,160.23
722,182.37
723,199.90
724,179.81
725,214.92
726,176.96
727,184.89
728,230.22
729,187.47
730,157.89
731,165.52
732,188.89
733,244.70
734,210.71
735,186.11
736,157.57
737,153.35
738,189.68
739,169.30
740,197.87
741,200.30
742,173.97
743,186.85
744,217.20
745,195.55
746,221.79
747,214.19
748,191.02
749,210.20
750,172.09
751,189.12
752,159.71
753,185.22
754,195.72
755,219.97
756,175.18
757,197.52
758,213.46
759,191.60
760,162.61
761,195.22
762,162.60
763,189.49
764,167.40
765,189.95
766,172.67
767,181.24
768,177.62
769,203.77
770,210.39
771,183.85
772,170.57
773,161.73
774,220.29
775,201.52
776,169.69
777,197.82
778,221.95
779,213.20
780,200.91
781,175.71
782,167.46
783,217.57
784,180.96
785,171.65
786,182.78
787,187.91
788,184.68
789,176.57
790,171.44
791,172.37
792,180.04
793,196.43
794,180.81
795,214.92
796,178.40
797,199.62
798,213.51
799,213.29
800,182.03
801,178.08
802,183.74
803,179.78
804,178.63
805,193.14
806,186.56
807,227.62
808,226.60
809,219.67
810,198.08
811,223.77
812,225.72
813,223.99
814,213.31
815,247.02
816,237.37
817,205.60
818,221.29
819,208.44
820,196.34
821,211.53
822,236.15
823,200.78
824,213.68
825,212.63
826,212.97
827,196.07
828,212.58
829,216.05
830,217.50
831,203.93
832,181.87
833,220.31
834,218.63
835,187.98
836,216.91
837,220.81
838,225.44
839,200.75
840,219.62
841,217.58
842,205.97
843,231.04
844,195.93
845,187.72
846,202.26
847,202.55
848,222.19
849,197.82
850,225.66
851,247.50
852,362.18
853,243.55
854,233.54
855,234.08
856,235.97
857,224.54
858,215.15
859,221.85
860,195.55
861,230.09
862,240.82
863,199.24
864,234.61
865,231.77
866,215.98
867,214.92
868,230.40
869,238.20
870,244.17
871,258.37
872,245.12
873,237.94
874,243.04
875,241.76
876,231.68
877,234.96
878,241.52
879,216.81
880,209.66
881,200.89
882,284.87
883,240.98
884,242.09
885,241.97
886,246.03
887,245.30
888,244.30
889,247.12
890,245.19
891,239.95
892,244.16
893,250.40
894,242.81
895,250.60
896,250.34
897,217.12
898,210.94
899,229.72
900,249.00
901,245.30
902,230.67
903,232.26
904,248.03
905,268.53
906,240.00
907,235.75
908,256.60
909,220.32
910,248.41
911,255.89
912,235.54
913,251.43
914,232.54
915,247.03
916,252.85
917,258.66
918,243.90
919,249.05
920,231.61
921,257.16
922,273.50
923,256.94
924,258.49
925,261.90
926,267.36
927,259.09
928,279.71
929,258.16
930,242.46
931,257.08
932,260.57
933,264.35
934,260.79
935,268.49
936,259.73
937,246.89
938,261.93
939,296.23
940,252.57
941,262.79
942,258.24
943,270.79
944,244.07
945,335.37
946,259.39
947,277.10
948,266.04
949,398.30
950,291.07
951,263.27
952,253.63
953,269.19
954,255.90
955,237.18
956,263.41
957,268.42
958,271.63
959,272.84
960,291.11
961,272.73
962,311.26
963,320.66
964,277.51
965,276.68
966,278.55
967,247.39
968,278.46
969,264.33
970,285.40
971,253.02
972,281.43
973,272.05
974,250.01
975,247.19
976,247.83
977,343.12
978,290.00
979,294.44
980,289.15
981,299.85
982,293.59
983,289.12
984,358.03
985,293.99
986,297.04
987,326.34
988,308.24
989,280.93
990,315.52
991,321.18
992,282.43
993,310.91
994,321.08
995,330.05
996,292.13
997,276.54
998,280.47
999,276.57
1000,241.85
1001,272.03
1002,250.18
1003,309.96
1004,277.41
1005,255.71
1006,249.06
1007,247.36
1008,317.80
1009,236.23
1010,287.85
1011,238.13
1012,238.50
1013,284.70
1014,284.08
1015,240.55
1016,253.53
1017,326.53
1018,270.36
1019,264.19
1020,258.09
1021,240.79
1022,289.43
1023,349.31
1024,428.00
1025,295.41
1026,290.54
1027,308.51
1028,344.10
1029,300.58
1030,280.16
1031,309.11
1032,283.16
1033,289.95
1034,311.33
1035,312.21
1036,316.91
1037,352.70
1038,321.52
1039,322.91
1040,319.01
1041,315.86
1042,315.90
1043,305.43
1044,316.96
1045,288.18
1046,313.62
1047,289.34
1048,322.51
1049,300.19
1050,315.74
1051,328.85
1052,322.57
1053,327.48
1054,322.56
1055,322.74
1056,328.77
1057,329.41
1058,337.61
1059,327.22
1060,330.83
1061,303.69
1062,327.40
1063,327.36
1064,335.90
1065,303.92
1066,299.57
1067,406.61
1068,355.26
1069,377.11
1070,336.39
1071,338.52
1072,340.27
1073,322.48
1074,302.76
1075,364.36
1076,340.14
1077,359.18
1078,352.81
1079,341.84
1080,340.04
1081,366.53
1082,314.76
1083,383.22
1084,347.42
1085,347.10
1086,361.12
1087,345.65
1088,314.02
1089,309.26
1090,420.80
1091,363.46
1092,331.10
1093,334.61
1094,372.54
1095,345.46
1096,347.20
1097,318.03
1098,432.42
1099,359.26
1100,344.55
1101,355.02
1102,347.32
1103,332.60
1104,370.06
1105,348.53
1106,351.78
1107,347.80
1108,358.05
1109,350.95
1110,350.12
1111,348.18
1112,357.52
1113,357.71
1114,377.83
1115,331.65
1116,354.51
1117,355.62
1118,348.17
1119,386.16
1120,365.57
1121,362.94
1122,368.56
1123,332.32
1124,385.11
1125,360.81
1126,336.94
1127,364.93
1128,360.52
1129,348.60
1130,395.33
1131,406.33
1132,371.13
1133,340.03
1134,337.84
1135,440.96
1136,395.95
1137,399.21
1138,355.34
1139,370.68
1140,368.53
1141,348.01
1142,347.96
1143,369.31
1144,353.50
1145,356.23
1146,347.98
1147,487.15
1148,406.04
1149,360.03
1150,382.55
1151,374.60
1152,377.75
1153,375.78
1154,352.88
1155,376.91
1156,381.89
1157,389.58
1158,375.79
1159,348.05
1160,406.08
1161,392.46
1162,385.59
1163,381.58
1164,387.10
1165,380.78
1166,359.45
1167,403.90
1168,407.74
1169,463.47
1170,375.34
1171,384.03
1172,384.12
1173,354.41
