op_nr,time
638,17783
639,11442
640,21806
641,56508
642,8041
643,42588
644,21294
645,11282
646,24379
647,10524
648,6004
649,6245
650,8698
651,5126
652,5117
653,6466
654,5222
655,5096
656,4871
657,35906
658,6516
659,14833
660,6972
661,4795
662,7077
663,12580
664,15344
665,7033
666,4991
667,6647
668,4936
669,4766
670,12210
671,14412
672,7465
673,16885
674,14568
675,14522
676,11532
677,14587
678,7504
679,14467
680,24314
681,14382
682,14427
683,10734
684,5744
685,4886
686,14276
687,8844
688,14507
689,6867
690,18440
691,6912
692,14116
693,14076
694,7945
695,6566
696,5482
697,21740
698,8342
699,8363
700,37561
701,19357
702,11417
703,9797
704,10930
705,149339
706,10534
707,14783
708,18455
709,12993
710,9300
711,8582
712,17948
713,9691
714,24720
715,14487
716,7188
717,5247
718,14381
719,6923
720,11868
721,5242
722,14557
723,16584
724,9049
725,6687
726,5980
727,14748
728,6491
729,5924
730,5874
731,24339
732,7685
733,18430
734,16639
735,9370
736,14452
737,6937
738,8076
739,6065
740,14477
741,14593
742,10800
743,17753
744,7986
745,14356
746,12174
747,14316
748,15023
749,16739
750,14427
751,6883
752,14893
753,8287
754,14673
755,14347
756,16197
757,14397
758,7068
759,16132
760,12334
761,6541
762,14322
763,16047
764,14537
765,22819
766,14698
767,14502
768,12631
769,8633
770,11813
771,18043
772,10570
773,7931
774,16829
775,9034
776,14798
777,6942
778,16067
779,9766
780,9501
781,8799
782,63851
783,51908
784,5804
785,38208
786,6165
787,12355
788,12315
789,7073
790,10113
791,9702
792,6305
793,6135
794,6306
795,9806
796,11227
797,9641
798,9185
799,19363
800,9099
801,14617
802,7580
803,8808
804,9706
805,6285
806,5924
807,8843
808,6701
809,7248
810,6155
811,6331
812,24780
813,6571
814,6386
815,12190
816,15485
817,6817
818,8869
819,6381
820,9205
821,7925
822,8588
823,5984
824,9275
825,6074
826,11161
827,6456
828,6129
829,10183
830,9782
831,6005
832,15520
833,22959
834,13589
835,9777
836,10765
837,8196
838,7895
839,8061
840,10730
841,8889
842,11051
843,17250
844,15620
845,8377
846,12390
847,7088
848,7760
849,6727
850,22393
851,10845
852,5378
853,10073
854,7630
855,6385
856,8517
857,5583
858,4725
859,10650
860,6847
861,5112
862,5222
863,4720
864,5046
865,6476
866,5463
867,17246
868,6125
869,5187
870,4846
871,9641
872,14482
873,6852
874,14301
875,16729
876,8678
877,19814
878,14422
879,14477
880,14497
881,6862
882,5232
883,13193
884,16178
885,12420
886,8006
887,10183
888,8236
889,7970
890,14351
891,14462
892,6912
893,14382
894,40626
895,10810
896,14321
897,8011
898,8011
899,11964
900,6285
901,18530
902,14858
903,7845
904,14432
905,6571
906,9837
907,9446
908,13459
909,6340
910,4786
911,9425
912,7178
913,16709
914,9842
915,6265
916,5979
917,12796
918,32319
919,17727
920,14527
921,14075
922,10985
923,13077
924,8969
925,6762
926,6321
927,6631
928,14959
929,12852
930,9726
931,6501
932,9662
933,6075
934,5899
935,19353
936,8151
937,6406
938,9782
939,6255
940,6361
941,8277
942,19634
943,9395
944,6561
945,6592
946,6260
947,6401
948,6576
949,6140
950,6877
951,5814
952,11011
953,6340
954,6030
955,5929
956,9827
957,6180
958,6381
959,10038
960,6145
961,5372
962,14422
963,15385
964,14406
965,13398
966,14758
967,8648
968,10087
969,22037
970,9902
971,9014
972,8612
973,12350
974,14567
975,23597
976,19554
977,8312
978,16363
979,11462
980,11106
981,10138
982,8839
983,16915
984,22603
985,17873
986,39137
987,19288
988,21399
989,23626
990,9480
991,21700
992,9772
993,23857
994,7209
995,6205
996,5121
997,8538
998,18485
999,8562
1000,5368
1001,5588
1002,4956
1003,23270
1004,5458
1005,4951
1006,5704
1007,5639
1008,5619
1009,5181
1010,4991
1011,5217
1012,5292
1013,5041
1014,5323
1015,5141
1016,5307
1017,8121
1018,15821
1019,7188
1020,19307
1021,4886
1022,8277
1023,6521
1024,8061
1025,6360
1026,4851
1027,14307
1028,14366
1029,36413
1030,8518
1031,14607
1032,14447
